event_id,state,block,area_ha,tau_next,ang_2020_2021_deg,registered
F824,PA,-103_-19,14.828,12.73,10.765620460794624,0.0
F910,MT,-121_-20,10.903,13.169,12.535606599947362,0.0
F2307,PA,-112_-3,11.432,12.73,10.070480272012352,0.0
F3093,AM,-126_-13,6.536,10.204,10.98716036353124,1.0
F4100,MT,-118_-21,17.879,13.169,16.75193825254202,1.0
F4362,PA,-111_-18,6.283,12.73,14.654152951383926,1.0
F4382,PA,-111_-18,6.959,12.73,11.41721953191403,0.0
F4383,PA,-111_-18,6.442,12.73,17.192581187496735,1.0
F4624,AC,-138_-22,6.473,11.218,11.46095847592468,1.0
F4654,AC,-138_-22,9.722,11.218,16.278066814072666,1.0
F4657,AC,-138_-22,8.507,11.218,12.34318325310855,1.0
F4659,AC,-138_-22,10.504,11.218,12.968134071257484,1.0
F4821,PA,-112_-15,13.751,12.73,12.803601756605985,1.0
F4832,PA,-112_-12,8.186,12.73,13.618044939354029,1.0
F4904,AC,-138_-22,8.077,11.218,13.787410336807651,1.0
F5278,MT,-118_-21,12.745,13.169,11.195470524982582,0.0
F5328,PA,-113_-10,15.428,12.73,35.14496895218098,1.0
F5349,AC,-137_-22,6.727,11.218,11.978499030775906,1.0
F5363,AM,-130_-15,6.277,10.204,19.26576298840137,1.0
F6360,MT,-119_-20,17.073,13.169,37.851777024103086,1.0
F6515,PA,-101_-7,11.582,12.73,49.271430848514726,1.0
F6516,PA,-116_-12,66.105,12.73,27.489227535346267,1.0
F6608,PA,-113_-10,12.444,12.73,29.472652818864137,1.0
F6642,PA,-103_-7,21.296,12.73,43.576101321837264,1.0
F6646,PA,-103_-6,32.061,12.73,37.49743874070366,1.0
F6794,PA,-104_-8,20.891,12.73,34.15899569435344,1.0
F7112,AC,-139_-22,8.974,11.218,13.985264833914348,1.0
F7119,AC,-137_-22,11.198,11.218,11.979788431918308,1.0
F7346,AC,-138_-22,9.27,11.218,12.731516116700925,1.0
F7454,PA,-112_-14,26.866,12.73,10.682468963863268,0.0
F8599,MT,-120_-19,8.884,13.169,10.597287969343654,0.0
