event_id,state,area_ha,tau_p90,interior_ang_deg,ring_50_150m_ang_deg,offset_suspect
F824,PA,14.828,10.299,10.231814602263206,11.224721011430658,1
F910,MT,10.903,12.198,10.613381937874466,10.592393947590113,0
F2307,PA,11.432,10.299,8.233166713806277,16.857063980785924,1
F3093,AM,6.536,9.146,8.862260783360583,18.059331863720683,1
F4100,MT,17.879,12.198,10.82868440988727,9.01103221560951,0
F4362,PA,6.283,10.299,10.096549635052755,5.610386462092826,0
F4382,PA,6.959,10.299,9.0203862633457,6.7252225629644675,0
F4383,PA,6.442,10.299,7.81419503192244,7.044993450284211,0
F4624,AC,6.473,11.216,9.444668813484045,8.320690552111765,0
F4654,AC,9.722,11.216,9.911598682634766,6.7932369126791885,0
F4657,AC,8.507,11.216,10.602221248633589,9.717626391531363,0
F4659,AC,10.504,11.216,9.64606344579935,7.318444408583183,0
F4821,PA,13.751,10.299,10.102662840593851,9.457786414899509,0
F4832,PA,8.186,10.299,8.88201388758079,8.288845019869006,0
F4904,AC,8.077,11.216,10.658735198450469,11.702018627681433,1
F5278,MT,12.745,12.198,10.18807378271511,11.004580849447022,0
F5328,PA,15.428,10.299,9.815471476677793,7.019869191145828,0
F5349,AC,6.727,11.216,10.23939375609268,13.325778121996647,1
F5363,AM,6.277,9.146,7.947656288676857,8.600641059991828,0
F6360,MT,17.073,12.198,11.937083139289856,12.739955215698187,1
F6515,PA,11.582,10.299,8.277790604691143,17.334179645679114,1
F6516,PA,66.105,10.299,9.809875443000044,11.833240859733651,1
F6608,PA,12.444,10.299,10.077728392805923,15.940252275260614,1
F6642,PA,21.296,10.299,9.58943550193552,14.374717364974416,1
F6646,PA,32.061,10.299,9.315525883019827,25.84331168066309,1
F6794,PA,20.891,10.299,8.774260818810511,9.315187941702865,0
F7112,AC,8.974,11.216,9.694135681748552,7.044857630928994,0
F7119,AC,11.198,11.216,10.23688349783706,8.23582228114114,0
F7346,AC,9.27,11.216,7.833205273996949,13.048482316685359,1
F7454,PA,26.866,10.299,6.805855261479137,11.279355215172458,1
F8599,MT,8.884,12.198,9.920112568521933,13.65195344733522,1
F8637,PA,6.946,10.299,9.259833182679671,10.622090443605089,1
F8739,MT,31.849,12.198,10.724147881772806,12.673876584466646,1
F8830,AM,33.561,9.146,5.9959535392170675,11.9160532443295,1
F9254,MT,13.562,12.198,11.85191316966015,18.08035169790101,1
F9261,MT,8.913,12.198,9.631497468836885,8.206574145982257,0
