i,sa2020,sa2021,sa2022,sa2023,sa2024,sa2025,roi
1401,2.2373270499987163,1.4502644779319105,0.6759790337471114,3.430046355301153,9.111450723441775,8.620597223547303,ET_somali
1359,4.814637220369459,5.378841665668211,2.7270772125244296,7.175249018998871,4.687556722271151,5.648145629820041,ET_somali
661,5.970239036497692,4.895151304624959,1.9745583503388786,8.204392410848985,5.57629948653935,5.358367592364875,ET_somali
708,6.14381565893039,4.80224788542031,3.7316178567236156,2.0188781806146427,6.233016705676496,8.315991201361205,ET_somali
1027,4.140515537667473,1.7766119921893202,2.7696327643922074,1.2314061397152443,9.746626030377476,2.138294755721466,ET_somali
1473,19.143674506106912,10.400672470549624,2.5894901028981945,2.788202072345117,15.323086473666624,6.3419059095421035,ET_somali
1117,3.645040022912314,3.9311818663042266,4.003610530030052,2.195107138005213,3.9413719685560324,0.8924353692252494,ET_somali
1141,4.731379786576563,1.4390646075760025,3.766714081477593,1.634655447842312,3.4107579028927155,4.56375268669163,ET_somali
823,1.5300050093754647,1.5754286756889981,1.3172030892129845,1.567913007816357,3.081342367362601,1.6028492172121709,ET_somali
571,3.824482902206856,5.227899658700343,2.3421520328865446,3.8274942415194317,4.708066154110078,7.294979606378094,ET_somali
190,3.506726418705473,1.392497223285243,2.1478981017804695,1.8333919984234148,3.616965766310338,2.1370949008635205,ET_somali
1444,9.425057006354114,8.034153731214287,3.485335232493373,4.670271175952603,6.707356144298485,6.2805734617612226,ET_somali
1525,1.082386663715009,1.5311104450803843,1.9119646289066285,4.176724566804564,12.105540705091471,6.868205771240401,ET_somali
385,3.833385060519828,2.7280404886202305,0.8908832607333452,4.666541251325097,3.955215375921356,4.198749186563077,ET_somali
664,2.0879334338441895,4.605499233994211,8.958443944859315,3.6043900654735674,5.849683161425461,3.2723156270498093,ET_somali
746,8.013851668359278,7.475317376465728,3.7298917845490838,11.666542177419583,5.3868665361679735,12.513116627319574,ET_somali
913,3.123451036322076,1.6788460488318766,2.659873274011471,1.4399977401467425,5.910952207725152,3.028449145503587,ET_somali
527,15.867168298010725,11.33736361266307,5.124576965048623,4.369327267358429,17.409641742414866,3.8634217207839736,ET_somali
1541,3.486241776189825,2.095627099819421,4.265407444932564,3.5661751857386625,5.020492636870921,2.701768989063056,ET_somali
108,4.246408877575567,2.655893708846858,1.3210138691660436,5.7184759346783975,9.578336012308824,6.969841758348266,ET_somali
1479,3.1398430643455977,1.8668533219577599,3.7924503563827483,4.611776222675402,12.798206682789084,7.89158324943131,ET_somali
302,4.565556436845144,4.998275807614781,2.4639103778129843,3.9728042616065755,3.802925701077137,2.9895681773847147,ET_somali
47,8.851127328760306,7.1948250761698676,7.137949949394711,7.4666863724036086,10.042271883539383,3.847499446845742,ET_somali
1248,8.103361692819743,7.76734127733288,3.644048427794166,6.090165601551844,3.512825814000441,4.180775302287907,ET_somali
1353,5.324356273694623,5.665028558895035,4.735283969019405,1.9317926996375243,4.978609336862554,2.489369915294203,ET_somali
1714,2.6791754449394616,2.6789219624121836,1.6779022483331272,3.3786921047634464,6.034188078677876,5.851500601908066,ET_somali
1678,7.8361708448221385,3.820359417874841,2.478402760413779,5.767515200120769,4.474160512865975,5.496452490378492,ET_somali
529,3.7817378277567357,3.9500249826026286,0.9944527571962094,1.1061118140028992,8.009190567131057,3.80647404314824,ET_somali
816,4.960566844163424,4.760384818585409,3.0521483168747743,2.659559158412476,5.158991604282534,5.771057792782796,ET_somali
1130,4.111149626784432,1.3059505074306637,4.427345107719984,2.5246953573888664,6.167622083816617,2.6475598056081733,ET_somali
462,8.890223195487645,5.374877524379993,0.9181689699613046,7.313369031935057,6.776702611648574,3.840566047996151,ET_somali
48,3.4354989201607418,5.2343753476833115,1.2548859386502895,12.467978569277514,6.367077601171551,5.12704169511896,ET_somali
808,11.730162521895355,6.8415489393562225,6.9319030469323115,12.069730103130574,9.202816862936293,3.690989093981099,ET_somali
1246,7.644174701985462,8.016791176923492,2.920263401740048,3.9618953103518493,16.934269236726657,12.714253748524541,ET_somali
1676,9.676585613979391,11.602891641415141,2.216284436069312,7.161903682678578,8.193294776535181,5.463811183258773,ET_somali
223,3.775663030907101,2.373606743997805,2.2792768814602544,2.9399045832108732,14.064742891565416,9.196493256342558,ET_somali
126,3.006410697542872,3.1741354631900407,4.156534690828809,4.730902734583224,4.745612843107163,3.334199385683669,ET_somali
1343,6.422870766506943,5.059392863583507,3.374595902630327,9.321049184111246,15.286367892550363,10.76892459517051,ET_somali
592,11.459961555395559,8.140299787321469,5.119020765850244,2.1593943106715825,12.148725078265258,2.4064842451922637,ET_somali
1094,5.751896960905243,4.624475234937105,1.916589015647655,4.033268068791456,3.736228312861911,2.3605749501760966,ET_somali
406,5.830163829748193,4.640017529700657,1.1887716955233538,2.8978040507539573,1.1561730160358905,1.6690398812096165,ET_somali
1487,5.08145222363867,3.7617018319145012,2.6148691463740334,4.774678549422639,5.239140719440218,5.356739952128284,ET_somali
845,4.947688734776327,3.124718310881414,3.841627432047034,2.5081217556969237,14.682180159579758,4.123779994041849,ET_somali
1216,8.709337127611724,7.040258490112838,2.1712986707217157,7.1486164316770315,4.617179388399347,9.901181685107979,ET_somali
834,1.3335043645056321,3.6464240571890074,2.866307373334083,5.248728915061118,3.55282060612584,2.7452636602119367,ET_somali
1004,7.199293938085757,4.723451897594117,4.918245671058027,7.834209649618028,8.76010270501967,4.505644759188343,ET_somali
