event_id,region,in_custom_box,lon,lat,area_ha,classname,view_date,alert_code,image_before,image_after,bracket_days,bracket_mid,event_month,overlap_frac,ang_mean_deg,ang_npx,tau_deg,registered,clear_post,clear_total_2021,radd_date,radd_latency_days,block
A_0,A,True,-55.99521940108683,-5.193314371603654,17.672623926064187,DESMATAMENTO_CR,2021-07-31,396745,2021-06-29,2021-08-21,53,2021-07-25,7,1.0,39.17693050740552,1705,11.393369413289843,1,9,19,,,-112_-11
A_1,A,True,-56.16930280583616,-5.1370428591470265,14.566008948258963,DESMATAMENTO_CR,2021-07-26,396552,2021-06-30,2021-08-12,43,2021-07-21,7,1.0,47.943714756185415,1404,11.393369413289843,1,12,27,2021-09-01,41.0,-113_-11
A_2,A,True,-56.00087420977012,-5.192423635057472,14.221564167614467,DESMATAMENTO_CR,2021-07-26,396745,2021-06-29,2021-08-21,53,2021-07-25,7,1.0,38.09377241641491,1298,11.393369413289843,1,11,23,,,-113_-11
A_3,A,True,-55.99907379497626,-5.19513455532926,12.039154457890243,DESMATAMENTO_CR,2021-07-26,396745,2021-06-29,2021-08-21,53,2021-07-25,7,1.0,41.12796504322839,1159,11.393369413289843,1,9,22,,,-112_-11
A_4,A,True,-56.1558305064782,-4.776655516293677,10.415092147053405,DESMATAMENTO_CR,2021-06-27,347346,2021-05-28,2021-07-19,52,2021-06-23,6,1.0,39.51790849543263,968,11.393369413289843,1,14,20,2021-07-27,34.0,-113_-10
A_5,A,False,-56.11813379593935,-5.233824149747282,23.850192990165763,DESMATAMENTO_CR,2021-07-11,396480,2021-06-22,2021-08-19,58,2021-07-21,7,1.0,41.18682752003383,2279,11.393369413289843,1,8,22,2021-07-15,-6.0,-113_-11
A_6,A,False,-55.09817372408295,-4.432010725677832,10.260435835587979,DESMATAMENTO_CR,2021-10-03,441588,2021-08-21,2021-10-20,60,2021-09-20,9,1.0,17.580269654715103,974,11.393369413289843,1,6,24,,,-111_-9
A_7,A,True,-56.24507690435281,-4.5809686426116825,14.28321043698173,DESMATAMENTO_CR,2021-06-21,347075,2021-05-28,2021-06-30,33,2021-06-13,6,1.0,52.75806160007864,1328,11.393369413289843,1,15,25,2021-06-21,7.0,-113_-10
A_8,A,True,-56.06784521263958,-4.604534830125923,8.607688901847228,DESMATAMENTO_CR,2021-08-09,397043,2021-06-30,2021-08-18,49,2021-07-24,7,0.9997667330863984,45.99924215320521,787,11.393369413289843,1,14,27,2021-09-25,62.0,-113_-10
A_9,A,False,-55.21784115330521,-4.231984978902954,7.273762806196511,DESMATAMENTO_CR,2021-09-21,420789,2021-07-28,2021-09-21,55,2021-08-24,8,0.9990355293647615,33.440729021238894,661,11.393369413289843,1,14,50,2021-09-13,19.0,-111_-9
A_10,A,True,-55.883736788617895,-4.8910262775842055,7.040362567267474,DESMATAMENTO_CR,2021-07-18,396709,2021-06-29,2021-08-22,54,2021-07-26,7,0.9989544695627018,49.46012157164928,648,11.393369413289843,1,14,26,,,-112_-10
A_11,A,False,-55.42579832775918,-4.492135683046051,47.70231667401735,DESMATAMENTO_CR,2021-07-18,347225,2021-05-27,2021-07-19,53,2021-06-22,6,0.9978893048727718,45.09880941493173,4688,11.393369413289843,1,34,48,,,-111_-9
A_12,A,False,-55.59945774058577,-4.201338075313807,8.80252040964542,DESMATAMENTO_CR,2021-08-18,413600,2021-07-29,2021-08-23,25,2021-08-10,8,0.9978416581436333,42.527822461380346,832,11.393369413289843,1,11,25,,,-112_-9
A_13,A,True,-56.248109972979606,-4.583302124785065,16.651417093106918,DESMATAMENTO_CR,2021-06-18,347075,2021-05-28,2021-06-30,33,2021-06-13,6,0.9960569999990118,56.012517799902014,1624,11.393369413289843,1,15,26,2021-06-09,-5.0,-113_-10
A_14,A,False,-55.13701888341543,-4.334574384236453,7.47534937617071,DESMATAMENTO_CR,2021-07-26,397280,2021-06-29,2021-08-21,53,2021-07-25,7,0.9938753801780471,39.39469400842748,679,11.393369413289843,1,10,24,,,-111_-9
A_15,A,False,-55.20573767613769,-4.262150473550473,8.857094016565103,DESMATAMENTO_CR,2021-10-15,430415,2021-08-20,2021-10-20,61,2021-09-19,9,0.9871300499696113,24.748562462437626,788,11.393369413289843,1,5,21,,,-111_-9
A_16,A,False,-55.297234155670296,-4.1395737999617515,10.700118182088808,DESMATAMENTO_CR,2021-09-19,441019,2021-08-23,2021-10-13,51,2021-09-17,9,0.9846776967199689,21.26363554437491,1028,11.393369413289843,1,12,49,,,-111_-9
A_17,A,True,-56.244421018518494,-4.5789752777777775,4.417501489745267,DESMATAMENTO_CR,2021-06-21,347075,2021-05-28,2021-06-30,33,2021-06-13,6,0.9809557489502999,45.24887191065238,397,11.393369413289843,1,14,20,2021-10-07,115.0,-113_-10
A_18,A,True,-55.694876745129875,-4.656502962662337,15.116068522498011,DESMATAMENTO_CR,2021-08-18,413613,2021-07-29,2021-08-19,21,2021-08-08,8,0.9798149647837162,43.707033212836826,1448,11.393369413289843,1,8,19,2021-10-13,65.0,-112_-10
A_19,A,False,-55.210257723577236,-4.263010569105692,10.066259046657384,DESMATAMENTO_CR,2021-09-21,430415,2021-08-20,2021-10-20,61,2021-09-19,9,0.979641694727805,20.336418425615875,964,11.393369413289843,1,6,31,,,-111_-9
A_20,A,True,-55.963903405738805,-4.590782756771253,7.626199535772949,DESMATAMENTO_CR,2021-09-22,430421,2021-08-05,2021-09-25,51,2021-08-30,8,0.9782700779302541,28.588505437621198,716,11.393369413289843,1,10,31,2021-09-25,25.0,-112_-10
A_21,A,False,-55.545284605337876,-4.48456229415105,72.03893802002491,DESMATAMENTO_CR,2021-08-06,396756,2021-06-30,2021-08-12,43,2021-07-21,7,0.9675815120694972,40.94434588844503,6951,11.393369413289843,1,13,23,,,-112_-9
A_22,A,False,-55.42757835716288,-3.9597746005046246,7.300740133717563,DESMATAMENTO_CR,2021-08-21,406391,2021-07-10,2021-08-25,46,2021-08-02,8,0.9667792540176681,34.638504542503846,690,11.393369413289843,1,10,28,2021-10-13,72.0,-111_-8
A_23,A,True,-55.735981647058814,-4.734578588235293,7.820963910691067,DESMATAMENTO_CR,2021-06-12,346977,2021-05-28,2021-07-18,51,2021-06-22,6,0.9666633077646124,44.88230900418049,736,11.393369413289843,1,11,18,2021-09-19,88.0,-112_-10
A_24,A,True,-55.73287296587929,-4.736628295421407,28.04500116098095,DESMATAMENTO_CR,2021-07-11,346977,2021-05-28,2021-07-18,51,2021-06-22,6,0.9654756939257869,47.10909306446035,2676,11.393369413289843,1,12,19,2021-09-19,88.0,-112_-10
A_25,A,False,-56.09986629107983,-5.30445295774648,6.527257769830152,DESMATAMENTO_CR,2021-06-22,347195,2021-05-25,2021-07-19,55,2021-06-21,6,0.964536079088609,49.74902543355762,622,11.393369413289843,1,12,23,2021-06-15,-7.0,-113_-11
A_26,A,False,-55.44774966033657,-4.33873831249035,26.501162579397207,DESMATAMENTO_CR,2021-08-09,413436,2021-07-28,2021-09-16,50,2021-08-22,8,0.96346677202081,38.82660556956758,2563,11.393369413289843,1,9,29,,,-111_-9
A_27,A,False,-55.42426204997883,-3.9600257518000843,9.66472649245225,DESMATAMENTO_CR,2021-08-09,406391,2021-07-10,2021-08-25,46,2021-08-02,8,0.9620711527202898,34.91530897396206,904,11.393369413289843,1,12,27,2021-10-07,66.0,-111_-8
A_28,A,False,-55.529522946655376,-4.467324386113463,7.247011821012199,DESMATAMENTO_CR,2021-08-06,535835,2021-06-25,2021-08-18,54,2021-07-22,7,0.9587376400706928,35.66145499786054,682,11.393369413289843,1,12,20,,,-112_-9
A_29,A,True,-55.81194620923337,-4.889326260059297,9.652892281345277,DESMATAMENTO_CR,2021-06-09,340316,2021-05-15,2021-06-30,46,2021-06-07,6,0.9570790417975531,57.880896527547925,886,11.393369413289843,1,19,27,2021-08-14,68.0,-112_-10
A_30,A,True,-56.0011896869245,-5.191870718232045,8.876105340839178,DESMATAMENTO_CR,2021-08-09,396745,2021-06-29,2021-08-21,53,2021-07-25,7,0.9562470419300303,36.18420774955868,741,11.393369413289843,1,10,21,,,-113_-11
A_31,A,False,-55.17923535911602,-4.214043646408839,9.999363975551724,DESMATAMENTO_CR,2021-07-29,398159,2021-07-25,2021-08-22,28,2021-08-08,8,0.9539415519848162,30.84277271769498,939,11.393369413289843,1,9,25,,,-111_-9
A_32,A,False,-55.42573725898905,-3.9616471426089963,11.783087229235656,DESMATAMENTO_CR,2021-08-18,406391,2021-07-10,2021-08-25,46,2021-08-02,8,0.9537547783748911,34.33815987170786,1128,11.393369413289843,1,10,28,2021-09-25,54.0,-111_-8
A_33,A,False,-55.38762878324844,-4.303775868704019,18.075398709799163,DESMATAMENTO_CR,2021-10-06,455939,2021-08-22,2021-10-13,52,2021-09-17,9,0.9511975876425736,18.529045500834865,1719,11.393369413289843,1,9,46,,,-111_-9
A_34,A,False,-55.30441260283564,-4.340315520158703,35.06276074649403,DESMATAMENTO_CR,2021-10-06,455937,2021-09-16,2021-10-14,28,2021-09-30,9,0.9480219372831771,11.029383813010815,3408,11.393369413289843,0,7,44,,,-111_-9
A_35,A,False,-55.54777889072847,-4.488980256622517,14.824979983307422,DESMATAMENTO_CR,2021-07-26,396756,2021-06-30,2021-08-12,43,2021-07-21,7,0.9477584848069927,37.68055384547346,1405,11.393369413289843,1,11,21,,,-112_-9
A_36,A,False,-55.0883616519174,-4.276423177412557,14.565137736515329,DESMATAMENTO_CR,2021-08-18,413595,2021-07-27,2021-08-21,25,2021-08-08,8,0.9476926037657355,32.22080246961222,1385,11.393369413289843,1,12,28,2021-09-13,35.0,-111_-9
A_37,A,False,-55.332326984126986,-4.196849206349206,8.765739179223775,DESMATAMENTO_CR,2021-08-06,406203,2021-07-24,2021-08-19,26,2021-08-06,8,0.9469043637005233,34.24921501675039,816,11.393369413289843,1,20,50,,,-111_-9
A_38,A,False,-56.214166439909285,-4.4690877928949355,10.82447445510663,DESMATAMENTO_CR,2021-09-22,441594,2021-08-09,2021-10-05,57,2021-09-06,9,0.9467472438480061,34.671346330358695,990,11.393369413289843,1,7,31,2021-09-13,6.0,-113_-9
A_39,A,True,-56.24787240725698,-4.580144841592202,15.105376684500463,DESMATAMENTO_CR,2021-06-30,347075,2021-05-28,2021-06-30,33,2021-06-13,6,0.943984910942329,52.83974398498075,1431,11.393369413289843,1,14,24,2021-08-08,55.0,-113_-10
A_40,A,True,-56.04011214723927,-4.776619795501023,9.997980242135561,DESMATAMENTO_CR,2021-10-06,456362,2021-08-24,2021-10-25,62,2021-09-24,9,0.9439581237826571,32.2211113241957,934,11.393369413289843,1,8,29,,,-113_-10
A_41,A,False,-55.16995131602191,-4.330679014308426,34.744403016840856,DESMATAMENTO_CR,2021-07-08,347227,2021-05-28,2021-07-11,44,2021-06-19,6,0.9430783022454093,45.21296663822877,3335,11.393369413289843,1,16,23,,,-111_-9
A_42,A,True,-55.57933011065006,-4.514070055325034,14.787646367684752,DESMATAMENTO_CR,2021-08-06,773359,2021-07-18,2021-08-21,34,2021-08-04,8,0.9427395053297198,39.98734785466557,1436,11.393369413289843,1,10,18,,,-112_-10
A_43,A,True,-55.99248428142951,-5.193870331960754,40.19402555729784,DESMATAMENTO_CR,2021-07-19,396745,2021-06-29,2021-08-21,53,2021-07-25,7,0.9420465200043174,37.88488259805483,3887,11.393369413289843,1,11,23,,,-112_-11
A_44,A,False,-55.411960055096415,-4.477496749311296,14.849732582380994,DESMATAMENTO_CR,2021-07-11,347225,2021-05-27,2021-07-19,53,2021-06-22,6,0.9407209765551142,46.59105526025344,1406,11.393369413289843,1,33,47,,,-111_-9
A_45,A,False,-56.00050801282052,-5.243340064102564,7.012109083540365,DESMATAMENTO_CR,2021-08-09,396706,2021-06-29,2021-08-20,52,2021-07-25,7,0.9386603635025303,34.36006457754527,617,11.393369413289843,1,12,27,,,-113_-11
A_46,A,False,-55.52462041092187,-4.460918707758853,15.132334531795234,DESMATAMENTO_CR,2021-07-19,535835,2021-06-25,2021-08-18,54,2021-07-22,7,0.9369733728930567,39.55164079448783,1452,11.393369413289843,1,13,24,,,-112_-9
A_47,A,False,-55.407118411347525,-3.961559063829786,7.214762113321852,DESMATAMENTO_CR,2021-06-22,347205,2021-05-23,2021-07-10,48,2021-06-16,6,0.9364960794188086,30.354626394913023,665,11.393369413289843,1,17,27,,,-111_-8
