event_id,region,gid,in_custom_box,lon,lat,area_ha,classname,view_date,n_s1_obs,sar_date,shift_vv_db,shift_vh_db,sar_r2,sar_t,gap_days,ang_mean_deg,ang_npx,tau_deg,registered,radd_first_date,radd_npx,clear_total_2021,p1_bracketed,p1_bracket_mid,sar_minus_mid_days,inside_tightened,block
A_0,A,10000_hist,True,-56.2052,-5.1358,34.9192,DESMATAMENTO_CR,2021-09-22,93,2020-10-21,0.343,0.224,0.1701,4.5838,6,16.9693,3400,11.3934,1,2021-06-09,498,26,False,,,,-113_-11
A_1,A,10001_hist,False,-56.1088,-5.2034,10.3104,DESMATAMENTO_CR,2021-09-22,93,2021-07-06,-0.3045,-0.3118,0.0713,-2.8311,5,29.3616,963,11.3934,1,2021-07-03,365,20,False,,,,-113_-11
A_2,A,10005_hist,True,-56.0741,-5.1618,19.2244,DESMATAMENTO_CR,2021-09-22,93,2021-09-04,-1.4129,-1.553,0.5296,-10.6199,5,34.6504,1809,11.3934,1,2021-06-21,1493,25,False,,,,-113_-11
A_3,A,10006_hist,False,-55.7127,-4.0011,10.7879,DESMATAMENTO_CR,2021-09-22,97,2021-09-04,-0.6439,-0.5566,0.1549,-4.3163,5,35.9142,1023,11.3934,1,2021-07-27,150,28,False,,,,-112_-9
A_4,A,10009_hist,False,-55.7415,-3.9437,9.7018,DESMATAMENTO_CR,2021-09-22,97,2021-09-04,-0.3952,-0.611,0.1229,-3.788,5,30.1601,919,11.3934,1,2021-08-14,435,30,False,,,,-112_-8
A_5,A,10013_hist,False,-55.5371,-4.4099,19.11,DESMATAMENTO_CR,2021-09-22,97,2021-08-29,-0.5186,-0.4904,0.2619,-6.1252,6,32.9123,1855,11.3934,1,2021-09-01,529,21,False,,,,-112_-9
A_6,A,10017_hist,True,-56.0619,-5.1692,15.4358,DESMATAMENTO_CR,2021-09-22,93,2021-09-04,-1.0056,-0.9715,0.3503,-7.2731,5,27.8221,1462,11.3934,1,2021-04-04,840,28,False,,,,-113_-11
A_7,A,10020_hist,False,-55.2571,-4.3728,38.1911,DESMATAMENTO_CR,2021-09-22,97,2021-09-10,-0.2558,-0.0586,0.067,-2.3604,6,19.6029,3734,11.3934,1,2021-06-09,260,44,False,,,,-111_-9
A_8,A,10021_hist,True,-56.0296,-5.1985,14.0742,DESMATAMENTO_CR,2021-09-22,93,2021-07-06,-0.3752,-0.3577,0.1335,-3.9373,5,25.9276,1299,11.3934,1,2021-08-20,423,25,False,,,,-113_-11
A_9,A,10023_hist,True,-55.9096,-4.8402,11.1992,DESMATAMENTO_CR,2021-09-22,93,2022-01-05,0.3909,0.4922,0.0838,3.1827,12,33.4151,1065,11.3934,1,2021-09-19,137,25,False,,,,-112_-10
