event_id,region,gid,in_custom_box,lon,lat,area_ha,classname,view_date,radd_any,radd_high,date_upper,radd_npx,radd_hi_npx,event_month,clear_post_radd_any,clear_post_radd_high,clear_post_date_upper,clear_total_2021,ang_mean_deg,ang_npx,tau_deg,registered,p1_bracketed,radd_diff_to_interval,block
A_0,A,10000_hist,True,-56.2052,-5.1358,34.9192,DESMATAMENTO_CR,2021-09-22,2021-06-09,2021-06-09,2021-06-09,498,416,6.0,15.0,15.0,15.0,26,16.9693,3400,11.3934,1,False,,-113_-11
A_1,A,10001_hist,False,-56.1088,-5.2034,10.3104,DESMATAMENTO_CR,2021-09-22,2021-07-03,2021-07-03,2021-07-03,365,302,7.0,11.0,11.0,11.0,20,29.3616,963,11.3934,1,False,,-113_-11
A_2,A,10005_hist,True,-56.0741,-5.1618,19.2244,DESMATAMENTO_CR,2021-09-22,2021-06-21,2021-06-21,2021-06-21,1493,1404,6.0,15.0,15.0,15.0,25,34.6504,1809,11.3934,1,False,,-113_-11
A_3,A,10006_hist,False,-55.7127,-4.0011,10.7879,DESMATAMENTO_CR,2021-09-22,2021-07-27,2021-07-27,2021-07-27,150,139,7.0,12.0,12.0,12.0,28,35.9142,1023,11.3934,1,False,,-112_-9
A_4,A,10009_hist,False,-55.7415,-3.9437,9.7018,DESMATAMENTO_CR,2021-09-22,2021-08-14,2021-08-14,2021-08-14,435,410,8.0,10.0,10.0,10.0,30,30.1601,919,11.3934,1,False,,-112_-8
A_5,A,10013_hist,False,-55.5371,-4.4099,19.11,DESMATAMENTO_CR,2021-09-22,2021-09-01,2021-09-01,2021-09-01,529,482,9.0,7.0,7.0,7.0,21,32.9123,1855,11.3934,1,False,,-112_-9
A_6,A,10017_hist,True,-56.0619,-5.1692,15.4358,DESMATAMENTO_CR,2021-09-22,2021-04-04,2021-04-04,2021-04-04,840,757,4.0,27.0,27.0,27.0,28,27.8221,1462,11.3934,1,False,,-113_-11
A_7,A,10020_hist,False,-55.2571,-4.3728,38.1911,DESMATAMENTO_CR,2021-09-22,2021-06-09,2021-06-09,2021-06-09,260,204,6.0,31.0,31.0,31.0,44,19.6029,3734,11.3934,1,False,,-111_-9
A_8,A,10021_hist,True,-56.0296,-5.1985,14.0742,DESMATAMENTO_CR,2021-09-22,2021-08-20,2021-08-20,2021-08-20,423,277,8.0,6.0,6.0,6.0,25,25.9276,1299,11.3934,1,False,,-113_-11
A_9,A,10023_hist,True,-55.9096,-4.8402,11.1992,DESMATAMENTO_CR,2021-09-22,2021-09-19,2021-09-19,2021-09-19,137,94,9.0,7.0,7.0,7.0,25,33.4151,1065,11.3934,1,False,,-112_-10
A_10,A,100244_hist,True,-56.0932,-4.8649,9.549,DESMATAMENTO_CR,2021-10-03,2021-08-14,2021-08-14,2021-08-14,537,521,8.0,10.0,10.0,10.0,28,41.9376,874,11.3934,1,False,,-113_-10
