event_id,state,radd_only,lon,lat,area_ha,classname,view_date,radd_any,radd_high,date_upper,event_month,clear_post_radd_any,s1_post_radd_any,clear_post_radd_high,clear_post_date_upper,s1_post_date_upper,clear_total,s1_total,ang_mean_deg,ang_npx,tau_p85,tau_p90,tau_p95,reg_p85,registered,reg_p95,radd_npx,block
E0,PA,0,-56.205,-5.136,34.919,DESMATAMENTO_CR,2021-09-22,2021-06-09,2021-06-09,2021-06-09,6.0,15.8,31.5,15.8,15.8,31.5,26,58,16.969,3400,12.102,12.73,13.754,1,1,1,498,-113_-11
E1,MT,0,-59.075,-9.469,10.427,DESMATAMENTO_CR,2021-10-03,2021-05-21,2021-05-21,2021-05-21,5.0,62.258,34.613,62.258,62.258,34.613,77,58,18.508,878,12.411,13.169,14.702,1,1,1,60,-119_-19
E2,PA,0,-56.109,-5.203,10.31,DESMATAMENTO_CR,2021-09-22,2021-07-03,2021-07-03,2021-07-03,7.0,12.613,27.516,12.613,12.613,27.516,23,58,29.362,963,12.102,12.73,13.754,1,1,1,365,-113_-11
E3,MT,0,-57.763,-10.613,29.715,DESMATAMENTO_CR,2021-10-03,2021-07-15,2021-07-15,2021-07-15,7.0,19.097,14.548,19.097,19.097,14.548,40,31,17.485,2816,12.411,13.169,14.702,1,1,1,369,-116_-22
E4,MT,0,-57.752,-10.619,13.375,DESMATAMENTO_CR,2021-10-03,2021-09-01,2021-09-01,2021-09-01,9.0,9.867,10.9,9.867,9.867,10.9,37,31,20.282,1251,12.411,13.169,14.702,1,1,1,27,-116_-22
E5,AM,0,-59.427,-7.207,40.356,DESMATAMENTO_CR,2021-09-22,2021-08-24,2021-08-24,2021-08-24,8.0,13.355,30.581,13.355,13.355,30.581,56,89,16.048,3977,9.556,10.204,11.25,1,1,1,578,-119_-15
E6,MT,0,-57.563,-12.424,6.778,DESMATAMENTO_CR,2021-10-03,,,,,,,,,,40,31,20.878,629,12.411,13.169,14.702,1,1,1,0,-116_-25
E7,PA,0,-55.679,-3.735,11.043,DESMATAMENTO_CR,2021-09-22,2021-08-26,2021-08-26,2021-08-26,8.0,11.645,22.806,11.645,11.645,22.806,29,62,31.45,1035,12.102,12.73,13.754,1,1,1,425,-112_-8
E8,AM,0,-59.497,-7.155,33.825,DESMATAMENTO_CR,2021-09-22,2021-06-25,2021-07-20,2021-06-25,6.0,38.0,45.333,29.258,38.0,45.333,51,89,19.519,3302,9.556,10.204,11.25,1,1,1,605,-119_-15
E9,AM,0,-58.475,-6.507,36.115,DESMATAMENTO_CR,2021-10-03,2021-05-09,2021-05-09,2021-05-09,5.0,19.839,17.419,19.839,19.839,17.419,27,28,25.045,3485,9.556,10.204,11.25,1,1,1,347,-117_-14
E10,MT,0,-59.703,-9.418,26.524,DESMATAMENTO_CR,2021-10-03,2021-08-07,2021-08-07,2021-08-07,8.0,27.29,21.871,27.29,27.29,21.871,66,58,26.737,2582,12.411,13.169,14.702,1,1,1,241,-120_-19
E11,MT,0,-59.446,-9.985,14.99,DESMATAMENTO_CR,2021-10-03,2021-04-03,2021-04-03,2021-04-03,4.0,124.2,42.5,124.2,124.2,42.5,141,58,15.681,1428,12.411,13.169,14.702,1,1,1,281,-119_-20
E12,PA,0,-56.074,-5.162,19.224,DESMATAMENTO_CR,2021-09-22,2021-06-21,2021-06-21,2021-06-21,6.0,29.6,29.5,29.6,29.6,29.5,49,58,34.65,1809,12.102,12.73,13.754,1,1,1,1493,-113_-11
E13,PA,0,-55.713,-4.001,10.788,DESMATAMENTO_CR,2021-09-22,2021-07-27,2021-07-27,2021-07-27,7.0,11.516,27.645,11.516,11.516,27.645,28,62,35.914,1023,12.102,12.73,13.754,1,1,1,150,-112_-9
E14,MT,0,-59.344,-9.567,12.3,DESMATAMENTO_CR,2021-10-03,2021-05-27,2021-05-27,2021-05-27,5.0,50.774,33.645,50.774,50.774,33.645,69,58,34.199,1152,12.411,13.169,14.702,1,1,1,228,-119_-20
E15,MT,0,-58.948,-9.548,8.081,DESMATAMENTO_CR,2021-10-03,2021-08-31,2021-08-31,2021-08-31,8.0,25.0,18.0,25.0,25.0,18.0,75,58,24.425,715,12.411,13.169,14.702,1,1,1,191,-118_-20
E16,MT,0,-59.283,-9.778,27.844,DESMATAMENTO_CR,2021-10-03,2021-01-03,2021-01-03,2021-01-03,1.0,65.613,57.516,65.613,65.613,57.516,66,58,36.474,2750,12.411,13.169,14.702,1,1,1,595,-119_-20
E17,PA,0,-55.741,-3.944,9.702,DESMATAMENTO_CR,2021-09-22,2021-08-14,2021-08-14,2021-08-14,8.0,10.194,24.742,10.194,10.194,24.742,30,62,30.16,919,12.102,12.73,13.754,1,1,1,435,-112_-8
E18,MT,0,-58.911,-9.504,6.57,DESMATAMENTO_CR,2021-10-03,2021-05-21,2021-05-21,2021-05-21,5.0,60.258,34.613,60.258,60.258,34.613,69,58,18.164,597,12.411,13.169,14.702,1,1,1,19,-118_-20
E19,AM,0,-59.699,-7.393,10.415,DESMATAMENTO_CR,2021-09-22,2021-08-06,2021-08-06,2021-08-06,8.0,15.226,24.032,15.226,15.226,24.032,54,61,24.365,992,9.556,10.204,11.25,1,1,1,668,-120_-15
E20,AM,0,-59.485,-6.952,25.921,DESMATAMENTO_CR,2021-09-22,2021-07-31,2021-07-31,2021-07-31,7.0,22.0,36.0,22.0,22.0,36.0,54,89,17.197,2527,9.556,10.204,11.25,1,1,1,625,-119_-14
E21,PA,0,-55.082,-8.618,13.428,DESMATAMENTO_CR,2021-09-22,2021-08-09,2021-08-09,2021-08-09,8.0,13.548,22.548,13.548,13.548,22.548,38,58,19.295,1265,12.102,12.73,13.754,1,1,1,501,-111_-18
E22,PA,0,-55.537,-4.41,19.11,DESMATAMENTO_CR,2021-09-22,2021-09-01,2021-09-01,2021-09-01,9.0,6.9,21.833,6.9,6.9,21.833,21,62,32.912,1855,12.102,12.73,13.754,1,1,1,529,-112_-9
E23,PA,0,-55.177,-8.626,10.104,DESMATAMENTO_CR,2021-10-03,,,,,,,,,,65,58,20.872,944,12.102,12.73,13.754,1,1,1,0,-111_-18
E24,PA,0,-56.062,-5.169,15.436,DESMATAMENTO_CR,2021-09-22,2021-04-04,2021-04-04,2021-04-04,4.0,50.467,42.333,50.467,50.467,42.333,53,58,27.822,1462,12.102,12.73,13.754,1,1,1,840,-113_-11
E25,MT,0,-55.086,-11.617,12.667,DESMATAMENTO_CR,2021-10-03,2021-10-26,2021-10-26,2021-10-03,10.0,2.29,4.484,2.29,8.226,6.71,82,29,52.755,1197,12.411,13.169,14.702,1,1,1,596,-111_-24
E26,PA,0,-55.134,-8.554,6.971,DESMATAMENTO_CR,2021-09-22,2021-05-17,2021-05-17,2021-05-17,5.0,51.516,35.258,51.516,51.516,35.258,67,58,26.118,643,12.102,12.73,13.754,1,1,1,97,-111_-18
E27,PA,0,-55.135,-8.38,70.998,DESMATAMENTO_CR,2021-10-03,2021-03-18,2021-03-18,2021-03-18,3.0,58.839,45.097,58.839,58.839,45.097,64,58,55.39,6873,12.102,12.73,13.754,1,1,1,6745,-111_-17
E28,PA,0,-55.093,-8.121,125.759,DESMATAMENTO_CR,2021-10-03,2021-05-29,2021-05-29,2021-05-29,5.0,21.258,33.323,21.258,21.258,33.323,34,58,44.011,12470,12.102,12.73,13.754,1,1,1,9338,-111_-17
E29,PA,0,-55.257,-4.373,38.191,DESMATAMENTO_CR,2021-09-22,2021-06-09,2021-06-09,2021-06-09,6.0,30.8,35.5,30.8,30.8,35.5,45,62,19.603,3734,12.102,12.73,13.754,1,1,1,260,-111_-9
E30,PA,0,-55.076,-8.117,87.67,DESMATAMENTO_CR,2021-10-03,2021-05-05,2021-05-05,2021-05-05,5.0,21.677,37.194,21.677,21.677,37.194,31,58,42.735,8705,12.102,12.73,13.754,1,1,1,7479,-111_-17
E31,AM,0,-59.353,-6.859,6.148,DESMATAMENTO_CR,2021-10-03,2021-08-12,2021-08-12,2021-08-12,8.0,19.903,33.29,19.903,19.903,33.29,53,89,15.273,588,9.556,10.204,11.25,1,1,1,85,-119_-14
E32,PA,0,-56.03,-5.198,14.074,DESMATAMENTO_CR,2021-09-22,2021-08-20,2021-08-20,2021-08-20,8.0,12.839,19.774,12.839,12.839,19.774,50,58,25.928,1299,12.102,12.73,13.754,1,1,1,423,-113_-11
E33,PA,0,-55.142,-8.372,51.935,DESMATAMENTO_CR,2021-10-03,2021-01-17,2021-01-17,2021-01-17,1.0,60.806,55.258,60.806,60.806,55.258,63,58,60.014,5002,12.102,12.73,13.754,1,1,1,4991,-111_-17
E34,PA,0,-56.667,-6.988,32.915,DESMATAMENTO_CR,2021-09-22,2021-09-19,2021-09-19,2021-09-19,9.0,5.467,15.833,5.467,5.467,15.833,29,58,16.682,3225,12.102,12.73,13.754,1,1,1,253,-114_-14
E35,AM,0,-58.716,-6.765,9.194,DESMATAMENTO_CR,2021-10-03,2021-04-03,2021-04-03,2021-04-03,4.0,26.7,20.7,26.7,26.7,20.7,28,28,63.737,844,9.556,10.204,11.25,1,1,1,746,-118_-14
