event_id,state,radd_only,lon,lat,area_ha,classname,view_date,radd_any,radd_high,date_upper,event_month,clear_post_radd_any,s1_post_radd_any,clear_post_date_upper,clear_total,s1_total,ang_2019_2020_deg,ang_npx,tau_p85,tau_p90,tau_p95,reg_p85,registered,reg_p95,block
F0,AC,0,-69.656,-10.901,14.56,DESMATAMENTO_CR,2020-08-29,,,,,,,,71,91,35.657,1386,10.556,11.216,12.387,1,1,1,-140_-22
F1,AC,0,-71.291,-8.04,14.989,DESMATAMENTO_CR,2020-08-29,,,,,,,,115,90,14.516,1416,10.556,11.216,12.387,1,1,1,-143_-17
F2,AC,0,-72.308,-7.853,10.739,DESMATAMENTO_CR,2020-08-23,2020-07-12,2020-07-12,2020-07-12,7.0,21.065,41.29,21.065,31,89,23.626,1013,10.556,11.216,12.387,1,1,1,-145_-16
F3,AC,0,-72.607,-8.373,11.17,DESMATAMENTO_CR,2020-08-23,2020-06-06,2020-06-06,2020-06-06,6.0,23.2,66.0,23.2,32,118,25.584,1060,10.556,11.216,12.387,1,1,1,-146_-17
F4,AC,0,-70.678,-7.871,7.818,DESMATAMENTO_CR,2020-08-23,2020-01-11,2020-01-11,2020-01-11,1.0,31.29,87.516,31.29,32,90,25.244,740,10.556,11.216,12.387,1,1,1,-142_-16
F5,AC,0,-71.094,-8.05,6.656,DESMATAMENTO_CR,2020-08-23,2020-07-13,2020-07-13,2020-07-13,7.0,18.742,42.645,18.742,32,90,37.891,616,10.556,11.216,12.387,1,1,1,-143_-17
F6,AC,0,-71.322,-8.024,9.619,DESMATAMENTO_CR,2020-08-29,2020-07-25,2020-07-25,2020-07-25,7.0,63.323,39.548,63.323,127,90,23.534,916,10.556,11.216,12.387,1,1,1,-143_-17
F7,AC,0,-71.035,-8.037,12.685,DESMATAMENTO_CR,2020-08-23,2020-08-14,2020-08-14,2020-08-14,8.0,13.194,34.387,13.194,30,90,17.843,1157,10.556,11.216,12.387,1,1,1,-143_-17
F8,AC,0,-71.056,-8.347,7.468,DESMATAMENTO_CR,2020-08-23,2020-08-26,2020-08-26,2020-08-23,8.0,13.806,31.29,14.29,36,90,18.631,690,10.556,11.216,12.387,1,1,1,-143_-17
F9,AC,0,-70.757,-8.384,7.418,DESMATAMENTO_CR,2020-08-23,,,,,,,,73,90,18.69,702,10.556,11.216,12.387,1,1,1,-142_-17
F10,AC,0,-72.595,-8.13,7.679,DESMATAMENTO_CR,2020-08-23,2020-06-15,2020-06-15,2020-06-15,6.0,21.0,54.0,21.0,34,100,28.012,750,10.556,11.216,12.387,1,1,1,-146_-17
F11,AC,0,-70.869,-8.278,8.931,DESMATAMENTO_CR,2020-08-23,2020-07-19,2020-07-19,2020-07-19,7.0,15.548,41.097,15.548,30,90,21.93,819,10.556,11.216,12.387,1,1,1,-142_-17
F12,AC,0,-70.96,-8.021,10.162,DESMATAMENTO_CR,2020-08-23,2020-02-02,2020-02-02,2020-02-02,2.0,25.931,82.517,25.931,27,90,34.475,972,10.556,11.216,12.387,1,1,1,-142_-17
F13,AC,0,-71.186,-8.817,9.454,DESMATAMENTO_CR,2020-08-23,2020-03-23,2020-03-23,2020-03-23,3.0,27.258,70.806,27.258,32,90,33.692,837,10.556,11.216,12.387,1,1,1,-143_-18
F14,AC,0,-70.906,-8.904,7.049,DESMATAMENTO_CR,2020-08-23,,,,,,,,27,90,32.233,634,10.556,11.216,12.387,1,1,1,-142_-18
F15,AC,0,-71.344,-8.005,9.998,DESMATAMENTO_CR,2020-08-29,2020-08-24,2020-08-24,2020-08-24,8.0,49.387,31.806,49.387,102,90,16.296,951,10.556,11.216,12.387,1,1,1,-143_-17
F16,AC,0,-70.643,-8.065,15.305,DESMATAMENTO_CR,2020-08-29,2020-08-06,2020-08-06,2020-08-06,8.0,16.032,36.452,16.032,32,90,26.758,1416,10.556,11.216,12.387,1,1,1,-142_-17
F17,AM,0,-72.721,-7.499,9.399,DESMATAMENTO_CR,2020-08-23,2020-02-16,2020-02-16,2020-02-16,2.0,30.897,78.138,30.897,34,89,37.964,888,8.609,9.146,9.982,1,1,1,-146_-15
F18,AC,0,-70.127,-7.862,7.611,DESMATAMENTO_CR,2020-08-23,2020-07-01,2020-07-01,2020-07-01,7.0,17.903,30.806,17.903,30,61,23.576,687,10.556,11.216,12.387,1,1,1,-141_-16
F19,AM,0,-72.711,-7.268,7.303,DESMATAMENTO_CR,2020-08-23,2020-07-09,2020-07-09,2020-07-09,7.0,32.968,41.968,32.968,59,89,25.676,694,8.609,9.146,9.982,1,1,1,-146_-15
F20,AC,0,-69.562,-8.701,9.36,DESMATAMENTO_CR,2020-08-23,2020-07-26,2020-07-26,2020-07-26,7.0,13.484,26.968,13.484,33,61,36.159,873,10.556,11.216,12.387,1,1,1,-140_-18
F21,AC,0,-69.575,-8.695,9.974,DESMATAMENTO_CR,2020-08-23,2020-08-09,2020-08-09,2020-08-09,8.0,12.548,24.548,12.548,34,61,32.946,949,10.556,11.216,12.387,1,1,1,-140_-18
F22,AC,0,-69.559,-8.715,6.481,DESMATAMENTO_CR,2020-08-23,2020-08-07,2020-08-07,2020-08-07,8.0,15.871,24.871,15.871,35,61,37.548,606,10.556,11.216,12.387,1,1,1,-140_-18
F23,AC,0,-69.164,-10.923,6.88,DESMATAMENTO_CR,2020-08-23,2020-07-16,2020-07-16,2020-07-16,7.0,32.903,42.871,32.903,58,91,34.201,654,10.556,11.216,12.387,1,1,1,-139_-22
F24,AC,0,-69.311,-10.862,9.827,DESMATAMENTO_CR,2020-08-23,2020-07-26,2020-07-26,2020-07-26,7.0,58.581,40.29,58.581,125,91,25.955,960,10.556,11.216,12.387,1,1,1,-139_-22
F25,AC,0,-69.22,-10.922,6.989,DESMATAMENTO_CR,2020-08-23,2020-08-13,2020-08-13,2020-08-13,8.0,28.968,35.645,28.968,61,91,25.143,644,10.556,11.216,12.387,1,1,1,-139_-22
F26,AC,0,-69.307,-10.929,10.58,DESMATAMENTO_CR,2020-08-23,2020-08-07,2020-08-07,2020-08-07,8.0,62.129,37.194,62.129,141,91,26.136,1022,10.556,11.216,12.387,1,1,1,-139_-22
F27,AC,0,-69.352,-10.86,11.266,DESMATAMENTO_CR,2020-08-23,2020-02-11,2020-02-11,2020-02-11,2.0,109.241,80.345,109.241,120,91,29.955,1074,10.556,11.216,12.387,1,1,1,-139_-22
F28,AC,0,-68.853,-10.828,14.351,DESMATAMENTO_CR,2020-08-29,2020-08-31,2020-08-31,2020-08-29,8.0,13.0,31.0,13.323,33,91,18.548,1352,10.556,11.216,12.387,1,1,1,-138_-22
F29,AC,0,-69.503,-8.758,14.025,DESMATAMENTO_CR,2020-08-23,2020-07-16,2020-07-16,2020-07-16,7.0,17.419,28.903,17.419,33,61,30.129,1337,10.556,11.216,12.387,1,1,1,-140_-18
F30,AC,0,-69.561,-8.766,11.658,DESMATAMENTO_CR,2020-08-23,2020-05-17,2020-05-17,2020-05-17,5.0,22.903,38.258,22.903,34,61,45.605,1089,10.556,11.216,12.387,1,1,1,-140_-18
F31,AC,0,-69.999,-8.812,6.528,DESMATAMENTO_CR,2020-08-23,2020-06-19,2020-06-19,2020-06-19,6.0,20.1,66.3,20.1,35,122,27.204,600,10.556,11.216,12.387,1,1,1,-140_-18
