event_id,roi,lon,lat,area_ha,radd_any,clear_post,s1_post,ang_2020_2021_deg,tau,registered
C0,CG1,28.681,0.445,4.738,2021-01-13,20.594,118.226,48.142,16.309,1
C1,CG1,28.681,0.46,1.43,2021-01-13,21.416,118.226,51.201,16.309,1
C2,CG1,28.681,0.637,3.486,2021-01-08,23.052,119.677,63.243,16.309,1
C3,CG1,28.682,0.595,3.486,2021-01-21,21.72,115.903,52.295,16.309,1
C4,CG1,28.687,0.449,1.788,2021-01-01,22.231,121.71,55.99,16.309,1
C5,CG1,28.689,0.43,2.503,2021-01-01,23.422,121.71,50.829,16.309,1
C6,CG1,28.691,0.603,1.877,2021-01-13,22.274,118.226,56.423,16.309,1
C7,CG1,28.692,0.593,1.073,2021-01-15,24.799,117.645,38.846,16.309,1
C8,CG1,28.697,0.615,1.341,2021-03-14,22.921,98.484,59.17,16.309,1
C9,CG1,28.698,0.602,2.056,2021-03-02,18.732,102.355,56.972,16.309,1
C10,CG1,28.699,0.589,3.844,2021-01-03,26.308,121.129,54.564,16.309,1
C11,CG1,28.702,0.431,1.877,2021-01-27,19.682,114.161,52.744,16.309,1
C12,CG1,28.718,0.571,1.073,2021-01-03,23.838,121.129,58.713,16.309,1
C13,CG1,28.719,0.623,1.43,2021-03-14,23.492,98.484,51.915,16.309,1
C14,CG1,28.722,0.601,1.341,2021-11-16,3.822,13.733,21.247,16.309,1
C15,CG1,28.722,0.627,1.162,2021-01-01,25.355,121.71,59.555,16.309,1
C16,CG1,28.722,0.603,2.324,2021-01-01,23.349,121.71,52.697,16.309,1
C17,CG1,28.727,0.47,2.592,2021-05-25,22.5,74.935,41.439,16.309,1
C18,CG1,28.732,0.566,1.252,2021-01-01,23.558,121.71,56.43,16.309,1
C19,CG1,28.739,0.521,1.341,2021-03-26,34.791,94.613,43.364,16.309,1
C20,CG1,28.74,0.525,5.811,2021-02-01,37.215,112.643,44.667,16.309,1
C21,CG1,28.743,0.626,1.251,2021-01-13,27.087,118.226,51.203,16.309,1
C22,CG1,28.744,0.614,1.877,2021-01-13,26.038,118.226,49.121,16.309,1
C23,CG1,28.745,0.565,2.95,2021-01-01,39.885,121.71,55.6,16.309,1
C24,CG1,28.747,0.509,1.788,2021-01-21,39.487,115.903,49.338,16.309,1
C25,CG1,28.753,0.526,5.006,2021-02-20,42.703,105.857,34.272,16.309,1
C26,CG1,28.755,0.561,1.43,2021-01-13,49.153,118.226,53.003,16.309,1
C27,CG1,28.755,0.519,1.252,2021-01-09,47.669,119.387,45.798,16.309,1
C28,CG1,28.756,0.53,1.341,2021-01-01,48.98,121.71,42.977,16.309,1
C29,CG1,28.759,0.54,1.252,2021-05-01,30.531,82.677,34.909,16.309,1
C30,CG1,28.762,0.492,1.698,2021-01-01,41.222,93.742,44.27,16.309,1
C31,CG1,28.762,0.541,1.341,2021-01-08,51.109,119.677,48.032,16.309,1
C32,CG1,28.763,0.561,1.43,2021-01-01,47.507,121.71,54.294,16.309,1
C33,CG1,28.763,0.587,2.771,2021-01-25,42.097,114.742,53.951,16.309,1
C34,CG1,28.767,0.514,1.252,2021-02-26,36.39,79.5,43.16,16.309,1
C35,CG1,28.767,0.459,2.95,2021-01-01,43.465,93.742,56.255,16.309,1
C36,CG1,28.769,0.496,1.788,2021-01-01,42.977,93.742,40.768,16.309,1
C37,CG1,28.77,0.498,1.877,2021-01-09,44.328,91.677,49.592,16.309,1
C38,CG1,28.77,0.539,1.162,2021-01-01,50.874,93.742,26.69,16.309,1
C39,CG1,28.772,0.531,2.324,2021-01-03,50.332,93.226,46.921,16.309,1
C40,CG1,28.773,0.54,1.967,2021-02-06,45.834,84.5,36.555,16.309,1
C41,CG1,28.773,0.523,1.073,2021-01-01,46.405,93.742,37.827,16.309,1
C42,CG1,28.774,0.542,1.341,2021-05-15,33.306,60.129,40.631,16.309,1
C43,CG1,28.774,0.544,1.609,2021-01-13,49.545,90.645,49.045,16.309,1
C44,CG1,28.774,0.524,1.341,2021-01-01,45.182,93.742,44.234,16.309,1
C45,CG1,28.775,0.439,4.291,2021-01-01,54.04,93.742,54.894,16.309,1
C46,CG1,28.777,0.513,1.341,2021-01-25,38.227,87.548,34.028,16.309,1
C47,CG1,28.778,0.429,1.609,2021-01-13,59.35,90.645,56.95,16.309,1
C48,CG1,28.779,0.513,1.341,2021-02-06,37.372,84.5,48.395,16.309,1
